Anno_evento;Luogo_matrimonio;Rito;Stato_civile_marito;Stato_civile_moglie;Cittadinanza_marito;Cittadinanza_moglie;Eta_marito;Eta_moglie;Numerosità;Residenza_moglie;Residenza_marito;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;29;40;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;24;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;26;5;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;27;8;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;28;7;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;29;7;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;30;9;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;31;11;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;33;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;35;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;30;36;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;21;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;25;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;26;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;27;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;28;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;29;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;30;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;31;7;Milano;Italia;;;;;;;;
